EXPERIMENT,DEVICES,CLOUDS,MAX_QUEUE_SIZE,AVG_QUEUE_SIZE,TOTAL_JOBS,AVG_JOBS_DEVICE,MAX_JOBS_DEVICES,AVG_JOBS_CLOUD,MAX_JOBS_CLOUD,DEVICES_WITH_1+JOB,EXECUTION_TIME_AVG,EXECUTION_TIME_MAX,EXECUTION_TIME_MIN,EXECUTION_TIME_DEVICE_AVG,EXECUTION_TIME_DEVICE_MAX,EXECUTION_TIME_DEVICE_MIN,EXECUTION_TIME_CLOUD_AVG,EXECUTION_TIME_CLOUD_MAX,EXECUTION_TIME_CLOUD_MIN,AVG_EXPERIMENT_TIME,MAX_EXPERIMENT_TIME
MultiDeviceSchedulerLocalRemoteRandom13/0,8.0,0.0,99.0,82.75,886.3333333333334,110.79166666666667,121.66666666666667,0.0,0.0,8.0,705624.3052583672,1550473.0,9832.666666666666,705624.3052583672,1550473.0,9832.666666666666,0.0,0.0,0.0,1752936.6666666667,1758097.6666666667
MultiDeviceSchedulerLocalRemoteRoundRobin07/0,4.0,0.0,4.0,3.1666666666666665,83.33333333333333,20.833333333333332,25.666666666666668,0.0,0.0,4.0,20891.586642107573,56852.333333333336,8993.333333333334,20891.586642107573,56852.333333333336,8993.333333333334,0.0,0.0,0.0,264424.6666666667,279212.6666666667
Single_MultiDeviceSchedulerLocalRemoteRoundRobin07/0,4.0,0.0,1.0,1.0,26.0,6.5,26.0,0.0,0.0,4.0,9104.215195432587,10370.666666666666,8672.333333333334,9104.215195432587,10370.666666666666,8672.333333333334,0.0,0.0,0.0,195609.75,222940.33333333334
Single_EstimatedTimeScheduler07/0,2.0,0.0,2.3333333333333335,1.8333333333333333,22.666666666666668,11.333333333333334,22.666666666666668,0.0,0.0,2.0,13667.125603864733,29696.0,8886.0,13667.125603864733,29696.0,8886.0,0.0,0.0,0.0,226167.5,231604.33333333334
Single_EstimatedTimeScheduler13/0,6.0,0.0,9.0,5.222222222222221,117.0,19.5,117.0,0.0,0.0,6.0,25408.837204821142,91958.66666666667,9021.0,25408.837204821142,91958.66666666667,9021.0,0.0,0.0,0.0,224073.3888888889,264069.3333333333
Single_EstimatedTimeScheduler06/0,2.0,0.0,6.0,6.0,51.0,25.5,51.0,0.0,0.0,2.0,40934.094499229584,89504.0,9062.333333333334,40934.094499229584,89504.0,9062.333333333334,0.0,0.0,0.0,302203.8333333333,311514.6666666667
Single_EstimatedTimeScheduler15/0,6.0,0.0,2.0,1.3888888888888886,25.0,4.166666666666667,25.0,0.0,0.0,6.0,13421.848257418911,26845.666666666668,8897.0,13421.848257418911,26845.666666666668,8897.0,0.0,0.0,0.0,77555.61111111111,222395.66666666666
Single_MultiDeviceSchedulerLocalRemoteRandom16/0,8.0,0.0,1.3333333333333333,0.7916666666666666,11.0,1.375,11.0,0.0,0.0,8.0,10127.71111111111,14217.333333333334,8749.333333333334,10127.71111111111,14217.333333333334,8749.333333333334,0.0,0.0,0.0,77473.03968253969,220298.0
Single_MultiDeviceSchedulerLocalRemoteRandom12/0,6.0,0.0,1.0,0.7222222222222223,12.0,2.0,12.0,0.0,0.0,6.0,9331.475135975137,10168.666666666666,8789.333333333334,9331.475135975137,10168.666666666666,8789.333333333334,0.0,0.0,0.0,146988.3111111111,223878.0
Single_MultiDeviceSchedulerLocalRemoteRoundRobin16/0,8.0,0.0,1.0,1.0,12.0,1.5,12.0,0.0,0.0,8.0,9623.141203703703,10600.666666666666,8973.333333333334,9623.141203703703,10600.666666666666,8973.333333333334,0.0,0.0,0.0,118691.0,235696.33333333334
Single_EstimatedTimeScheduler16/0,6.0,0.0,1.6666666666666667,1.1111111111111112,11.666666666666666,1.9444444444444444,11.666666666666666,0.0,0.0,6.0,11688.327272727272,21169.666666666668,8974.666666666666,11688.327272727272,21169.666666666668,8974.666666666666,0.0,0.0,0.0,70881.16666666667,216551.0
Single_MultiDeviceSchedulerLocalRemoteRoundRobin08/0,4.0,0.0,1.0,1.0,8.333333333333334,2.0833333333333335,8.333333333333334,0.0,0.0,4.0,9529.565476190475,10550.666666666666,8836.666666666666,9529.565476190475,10550.666666666666,8836.666666666666,0.0,0.0,0.0,135638.83333333334,181501.0
SingleDeviceSchedulerCloud01/0,1.0,1.0,4.333333333333333,2.1666666666666665,223.33333333333334,111.66666666666667,111.66666666666667,111.66666666666667,111.66666666666667,2.0,1782.8755960069614,4812.666666666667,833.6666666666666,1939.379000003618,4812.666666666667,1117.3333333333333,1626.3721920103046,4626.333333333333,833.6666666666666,238690.5,238854.0
MultiDeviceSchedulerLocalRemoteRoundRobin10/0,6.0,0.0,9.0,9.0,274.3333333333333,45.72222222222222,54.0,0.0,0.0,6.0,174589.7612066874,536531.3333333334,9561.666666666666,174589.7612066874,536531.3333333334,9561.666666666666,0.0,0.0,0.0,725345.0555555556,763661.3333333334
SingleDeviceSchedulerRemote04/0,2.0,0.0,2.6666666666666665,1.3333333333333333,13.333333333333334,6.666666666666667,13.333333333333334,0.0,0.0,2.0,15971.427777777777,32111.666666666668,8931.666666666666,15971.427777777777,32111.666666666668,8931.666666666666,0.0,0.0,0.0,224724.5,224808.66666666666
MultiDeviceSchedulerLocalRemoteRandom03/0,2.0,0.0,8.666666666666666,5.0,52.0,26.0,28.333333333333332,0.0,0.0,2.0,111551.8716358167,238342.0,9510.333333333334,111551.8716358167,238342.0,9510.333333333334,0.0,0.0,0.0,634936.1666666666,785381.6666666666
EstimatedTimeScheduler12/0,4.0,0.0,8.666666666666666,7.833333333333333,108.66666666666667,27.166666666666668,30.666666666666668,0.0,0.0,4.0,50271.87758159771,115136.0,9339.0,50271.87758159771,115136.0,9339.0,0.0,0.0,0.0,315915.75,334034.0
MultiDeviceSchedulerLocalRemoteRoundRobin02/0,2.0,0.0,9.0,9.0,94.66666666666667,47.333333333333336,53.333333333333336,0.0,0.0,2.0,199660.06026027375,445776.6666666667,10664.666666666666,199660.06026027375,445776.6666666667,10664.666666666666,0.0,0.0,0.0,677677.6666666666,683395.0
Single_MultiDeviceSchedulerLocalRemoteRoundRobin01/0,2.0,0.0,9.0,9.0,109.66666666666667,54.833333333333336,109.66666666666667,0.0,0.0,2.0,216706.32603785105,467525.0,9865.333333333334,216706.32603785105,467525.0,9865.333333333334,0.0,0.0,0.0,689293.6666666666,705185.0
