EXPERIMENT,DEVICES,CLOUDS,MAX_QUEUE_SIZE,AVG_QUEUE_SIZE,TOTAL_JOBS,AVG_JOBS_DEVICE,MAX_JOBS_DEVICES,AVG_JOBS_CLOUD,MAX_JOBS_CLOUD,DEVICES_WITH_1+JOB,EXECUTION_TIME_AVG,EXECUTION_TIME_MAX,EXECUTION_TIME_MIN,EXECUTION_TIME_DEVICE_AVG,EXECUTION_TIME_DEVICE_MAX,EXECUTION_TIME_DEVICE_MIN,EXECUTION_TIME_CLOUD_AVG,EXECUTION_TIME_CLOUD_MAX,EXECUTION_TIME_CLOUD_MIN,AVG_EXPERIMENT_TIME,MAX_EXPERIMENT_TIME
MultiDeviceSchedulerLocalRemoteRoundRobin02/0/0,2,0,9,9.0,98,49.0,55,0,0,2,208764.2803382664,435714,10495,208764.2803382664,435714,10495,0,0,0,671787.0,672492
Single_MultiDeviceSchedulerLocalRemoteRoundRobin01/0/2,2,0,9,9.0,120,60.0,120,0,0,2,265472.675,546575,10174,265472.675,546575,10174,0,0,0,781904.0,785064
Single_MultiDeviceSchedulerLocalRemoteRoundRobin01/0/1,2,0,9,9.0,104,52.0,104,0,0,2,203528.82692307694,438850,9735,203528.82692307694,438850,9735,0,0,0,663203.0,676370
Single_MultiDeviceSchedulerLocalRemoteRoundRobin01/0/0,2,0,9,9.0,105,52.5,105,0,0,2,181117.47619047618,417150,9687,181117.47619047618,417150,9687,0,0,0,622774.0,654121
SingleDeviceSchedulerCloud06/0/2,2,1,2,0.6666666666666666,198,49.5,52,99,99,3,1501.394264521924,3255,1026,1607.0711947626842,3255,1221,1290.040404040404,2945,1026,233856.0,234986
SingleDeviceSchedulerCloud06/0/1,2,1,2,0.6666666666666666,208,52.0,57,104,104,3,1587.447637608752,3151,718,1693.964725643897,3151,949,1374.4134615384614,2820,718,234684.33333333334,238229
SingleDeviceSchedulerCloud06/0/0,2,1,3,1.0,184,46.0,47,92,92,3,1580.8324528043306,3623,905,1688.7052009456265,3623,1201,1365.0869565217392,3312,905,234381.66666666666,239616
SingleDeviceSchedulerLocal03/0/2,1,0,5,5.0,20,20.0,20,0,0,1,22084.55,52099,8683,22084.55,52099,8683,0,0,0,274103.0,274103
SingleDeviceSchedulerLocal03/0/1,1,0,5,5.0,20,20.0,20,0,0,1,21127.0,48453,8556,21127.0,48453,8556,0,0,0,261234.0,261234
SingleDeviceSchedulerLocal03/0/0,1,0,4,4.0,22,22.0,22,0,0,1,18293.636363636364,36233,8367,18293.636363636364,36233,8367,0,0,0,246154.0,246154
Single_EstimatedTimeScheduler12/0/2,4,0,3,1.75,25,6.25,25,0,0,4,13830.12,28443,8696,13830.12,28443,8696,0,0,0,113069.75,232071
Single_EstimatedTimeScheduler12/0/1,4,0,3,2.0,22,5.5,22,0,0,4,13215.90909090909,28726,8686,13215.90909090909,28726,8686,0,0,0,98810.25,220501
Single_EstimatedTimeScheduler12/0/0,4,0,2,1.5,26,6.5,26,0,0,4,13899.115384615385,27191,8993,13899.115384615385,27191,8993,0,0,0,140907.5,230866
Single_MultiDeviceSchedulerLocalRemoteRoundRobin09/0/2,6,0,1,1.0,118,19.666666666666668,118,0,0,6,12051.186440677966,24340,8979,12051.186440677966,24340,8979,0,0,0,233410.66666666666,246875
Single_MultiDeviceSchedulerLocalRemoteRoundRobin09/0/1,6,0,1,1.0,117,19.5,117,0,0,6,10340.735042735043,15850,8913,10340.735042735043,15850,8913,0,0,0,237750.66666666666,246923
Single_MultiDeviceSchedulerLocalRemoteRoundRobin09/0/0,6,0,1,1.0,115,19.166666666666668,115,0,0,6,10696.4,20245,8818,10696.4,20245,8818,0,0,0,230819.0,241607
Single_EstimatedTimeScheduler08/0/2,2,0,1,1.0,17,8.5,17,0,0,2,12002.588235294117,17223,8644,12002.588235294117,17223,8644,0,0,0,203507.5,216441
Single_EstimatedTimeScheduler08/0/1,2,0,1,1.0,18,9.0,18,0,0,2,11267.833333333334,17513,8642,11267.833333333334,17513,8642,0,0,0,206466.5,239458
Single_EstimatedTimeScheduler08/0/0,2,0,1,1.0,18,9.0,18,0,0,2,10893.055555555555,17072,8597,10893.055555555555,17072,8597,0,0,0,206558.0,213307
EstimatedTimeScheduler11/0/2,4,0,9,9.0,210,52.5,65,0,0,4,198054.35261455525,478036,9801,198054.35261455525,478036,9801,0,0,0,686454.0,716868
EstimatedTimeScheduler11/0/1,4,0,9,9.0,210,52.5,60,0,0,4,187422.43830242363,420255,9634,187422.43830242363,420255,9634,0,0,0,627068.5,646001
EstimatedTimeScheduler11/0/0,4,0,9,9.0,210,52.5,63,0,0,4,134949.256242983,347062,9581,134949.256242983,347062,9581,0,0,0,550308.0,568454
Single_MultiDeviceSchedulerLocalRemoteRandom09/0/2,6,0,8,3.8333333333333335,110,18.333333333333332,110,0,0,6,33822.65454545455,122780,8958,33822.65454545455,122780,8958,0,0,0,309050.6,351419
Single_MultiDeviceSchedulerLocalRemoteRandom09/0/1,6,0,9,5.0,122,20.333333333333332,122,0,0,6,41185.09016393442,167508,8978,41185.09016393442,167508,8978,0,0,0,332477.8,380480
Single_MultiDeviceSchedulerLocalRemoteRandom09/0/0,6,0,6,3.5,118,19.666666666666668,118,0,0,6,27190.466101694914,87637,7886,27190.466101694914,87637,7886,0,0,0,298061.0,322854
SingleDeviceSchedulerCloud19/0/2,8,1,9,1.0,388,24.25,30,194,194,9,3717.929223780832,10431,867,3756.7451190214774,10431,1183,3407.40206185567,10110,867,232807.44444444444,245691
SingleDeviceSchedulerCloud19/0/1,8,1,6,0.6666666666666666,380,23.75,34,190,190,9,2672.416848234618,7136,1029,2706.674875316577,7136,1253,2398.3526315789472,6834,1029,223719.33333333334,238734
SingleDeviceSchedulerCloud19/0/0,8,1,8,0.8888888888888888,370,23.125,27,185,185,9,3276.7467625244917,9246,1033,3312.0583510832967,9246,1231,2994.254054054054,8924,1033,229232.33333333334,241587
SingleDeviceSchedulerRemote02/0/2,2,0,9,4.5,47,23.5,47,0,0,2,180418.74468085106,359498,10103,180418.74468085106,359498,10103,0,0,0,586310.0,586410
SingleDeviceSchedulerRemote02/0/1,2,0,9,4.5,47,23.5,47,0,0,2,146991.36170212767,307168,10617,146991.36170212767,307168,10617,0,0,0,541868.0,541970
SingleDeviceSchedulerRemote02/0/0,2,0,9,4.5,57,28.5,57,0,0,2,179487.0,380881,9884,179487.0,380881,9884,0,0,0,617957.5,618067
SingleDeviceSchedulerCloud13/0/2,6,1,99,14.142857142857142,1382,115.16666666666667,126,691,691,7,238926.0546937214,480004,1391,239097.19743211055,480004,1728,237899.1982633864,479719,1391,711614.2857142857,718838
SingleDeviceSchedulerCloud13/0/1,6,0,0,0.0,705,117.5,143,0,0,6,247163.99247370518,493569,1670,247163.99247370518,493569,1670,0,0,0,724115.3333333334,731808
SingleDeviceSchedulerCloud13/0/0,6,1,99,14.142857142857142,1394,116.16666666666667,129,697,697,7,241999.57184328386,482373,1860,242108.1858018608,482373,2275,241347.8880918221,482038,1860,711832.1428571428,720541
MultiDeviceSchedulerLocalRemoteRandom11/0/2,6,0,9,7.333333333333333,160,26.666666666666668,34,0,0,6,60876.60346461816,188504,9138,60876.60346461816,188504,9138,0,0,0,386231.8333333333,419085
MultiDeviceSchedulerLocalRemoteRandom11/0/1,6,0,9,5.333333333333333,144,24.0,30,0,0,6,47093.11943264398,166665,9089,47093.11943264398,166665,9089,0,0,0,345322.5,396022
MultiDeviceSchedulerLocalRemoteRandom11/0/0,6,0,9,5.666666666666667,146,24.333333333333332,30,0,0,6,39907.69779423475,131106,9074,39907.69779423475,131106,9074,0,0,0,329717.5,342258
Single_MultiDeviceSchedulerLocalRemoteRoundRobin03/0/2,2,0,1,1.0,26,13.0,26,0,0,2,9969.423076923076,15198,8836,9969.423076923076,15198,8836,0,0,0,231571.0,236391
Single_MultiDeviceSchedulerLocalRemoteRoundRobin03/0/1,2,0,1,1.0,27,13.5,27,0,0,2,10711.62962962963,19459,8762,10711.62962962963,19459,8762,0,0,0,239261.5,239367
Single_MultiDeviceSchedulerLocalRemoteRoundRobin03/0/0,2,0,1,1.0,26,13.0,26,0,0,2,9519.038461538461,12125,8581,9519.038461538461,12125,8581,0,0,0,240011.0,244804
SingleDeviceSchedulerCloud03/0/2,1,1,1,0.5,48,24.0,24,24,24,2,1164.6041666666665,2139,740,1352.0833333333333,2139,1060,977.125,1932,740,227818.0,227951
SingleDeviceSchedulerCloud03/0/1,1,1,1,0.5,40,20.0,20,20,20,2,1247.6,3398,715,1420.05,3398,1023,1075.15,3019,715,231832.0,232047
SingleDeviceSchedulerCloud03/0/0,1,1,1,0.5,50,25.0,25,25,25,2,1209.48,2569,755,1388.28,2569,1036,1030.68,2052,755,231814.0,231958
SingleDeviceSchedulerCloud14/0/2,6,1,9,1.2857142857142858,594,49.5,58,297,297,7,32899.423011590414,71834,1067,32938.6455898409,71834,1255,32664.08754208754,71602,1067,300253.14285714284,310786
SingleDeviceSchedulerCloud14/0/1,6,1,9,1.2857142857142858,602,50.166666666666664,59,301,301,7,37993.011106717495,79760,2367,38024.1259146477,79760,2808,37806.322259136214,79386,2367,309420.5714285714,318740
SingleDeviceSchedulerCloud14/0/0,6,1,9,1.2857142857142858,582,48.5,60,291,291,7,30793.83358087516,63223,1054,30834.52176646203,63223,1399,30549.704467353953,62742,1054,293910.85714285716,302053
Single_EstimatedTimeScheduler11/0/2,4,0,4,2.75,49,12.25,49,0,0,4,17235.102040816328,48262,8832,17235.102040816328,48262,8832,0,0,0,215045.0,252010
Single_EstimatedTimeScheduler11/0/1,4,0,3,2.5,46,11.5,46,0,0,4,15664.282608695652,37259,8835,15664.282608695652,37259,8835,0,0,0,183871.5,251408
Single_EstimatedTimeScheduler11/0/0,4,0,3,2.25,39,9.75,39,0,0,4,13620.74358974359,30021,8909,13620.74358974359,30021,8909,0,0,0,212536.0,258347
